id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45142434,Bright and Spacious Full Apartment • Greektown,7600067,Aidin,,Greenwood-Coxwell,43.67847,-79.3299,Entire home/apt,110,4,14,2022-05-28,0.67,1,136,6,STR-2010-GDKRPF
45312313,200 meters from the Beach,54143046,Christian,,The Beaches,43.67366,-79.2823,Entire home/apt,204,3,30,2022-05-11,1.44,1,251,20,STR-2011-FWJKVD
45143515,Cozy Charming Quiet Haven,20611306,Amy,,O'Connor-Parkview,43.70908,-79.31871,Entire home/apt,120,2,11,2022-05-23,0.57,1,3,5,STR-2010-GSPDPG
44890503,Unique Live/Work Loft: Full Studio + 1 Bdrm Apt,4010527,Diane,,Moss Park,43.65648,-79.36956,Entire home/apt,249,30,0,,,4,192,0,
45312958,Luxurious 2 bedroom suite with a Magnificent view,293468277,Kamber,,Church-Yonge Corridor,43.65446,-79.37865,Entire home/apt,378,7,41,2022-06-01,1.97,2,36,12,STR-2205-FQDBHC
44897637,Toronto cozy bright and large apartment,12838611,Samanta,,Briar Hill-Belgravia,43.70287,-79.44178,Entire home/apt,41,28,1,2020-09-30,0.05,1,0,0,
45151478,Spacious apartment Trinity Bellwood’s-Queen West,146226441,Inna,,Trinity-Bellwoods,43.64583,-79.41522,Entire home/apt,104,28,30,2021-08-25,1.42,22,282,14,STR-2101-FKMBHB
45314589,Stylish studio unit in downtown Toronto 7B,366270532,Jessy,,Little Portugal,43.64945,-79.43273,Entire home/apt,69,30,6,2022-03-21,0.29,1,311,3,
45151913,Gorgeous 1BR W/Parking Across Scotiabank Arena,285628029,Dagoberto,,Waterfront Communities-The Island,43.64207,-79.37981,Entire home/apt,222,1,163,2022-05-30,7.75,4,23,93,STR-2101-GPDXVG
45162482,Bright & Spacious Apt in Leslieville - 12min to DT,19643698,Kathy,,South Riverdale,43.67064,-79.33565,Entire home/apt,110,28,5,2022-04-30,0.24,3,38,2,
44901970,Beautiful Junior 2BR & Study Condo Across CN Tower,354355826,Bv,,Waterfront Communities-The Island,43.64517,-79.38915,Entire home/apt,369,28,11,2021-10-17,0.52,16,158,7,STR-2102-GQMDVG
44901996,Large Spacious 1 Bed Apartment in East York,51612625,Oliver,,Old East York,43.69636,-79.32377,Entire home/apt,75,28,11,2022-03-31,0.51,3,339,3,
45325832,High Park Bloor West Village Main Floor in House,51938013,John,,High Park North,43.65877,-79.47219,Entire home/apt,75,31,2,2021-10-31,0.15,2,277,1,
45327316,Sanitized Luxury Condo in Prestigious Yorkville_17,342779731,Suzan,,Annex,43.67067,-79.39398,Entire home/apt,100,30,5,2021-12-24,0.28,3,0,2,
44904589,Etobicoke/Toronto Bright Basement apartment,159989585,Amal,,Humber Heights-Westmount,43.68803,-79.52716,Entire home/apt,165,28,2,2022-01-09,0.09,1,171,1,
45162881,Extra large room in basement with king size bed.,242813986,Makacs,,Agincourt North,43.79869,-79.27278,Private room,40,2,4,2022-04-01,0.19,2,0,3,STR-2112-HXTKVL
45162989,Cozy Condo In Yorkville!,354808129,Erin,,Annex,43.66943,-79.39399,Entire home/apt,120,30,2,2022-05-31,0.36,7,34,2,
45163405,Bright 2nd level Apartment near Subway & UPExpress,297754065,Peter,,Roncesvalles,43.653,-79.45075,Entire home/apt,90,28,3,2022-03-06,0.37,1,273,3,
45331342,**Downtown Condo 2BR+1BA+JulietteBalcony+Parking**,340093076,John & Adrienne,,Waterfront Communities-The Island,43.64204,-79.38232,Entire home/apt,366,2,61,2022-05-13,2.90,2,45,43,STR-2103-GKDXVF
45164177,"Elegant room, prestigious area of North York",300125939,Fanak,,Willowdale East,43.77884,-79.40452,Private room,47,28,3,2022-03-04,0.14,5,149,2,
44915184,Bright Modern 1BR+1Bath in Downtown Core,266350364,Richard,,Waterfront Communities-The Island,43.64355,-79.39023,Entire home/apt,195,28,1,2020-09-08,0.05,1,0,0,
45331415,Luxury condo w/Beautiful city and Lake views - 2Br,363339047,Danial,,Waterfront Communities-The Island,43.64231,-79.37962,Private room,394,1,23,2022-05-22,1.13,3,131,6,STR-2112-GZQXVH
44918695,❤️ Downtown Waterfront Toronto Condo with Free parking & Self Check-in ❤️,362861580,Chris,,Waterfront Communities-The Island,43.64167,-79.39599,Entire home/apt,335,2,43,2022-05-10,2.32,3,283,26,STR-2012-GQQPHG
44948823,Single BR self check-in/check-out,360929302,Christopher,,Briar Hill-Belgravia,43.69767,-79.4585,Private room,30,28,0,,,2,0,0,
44955917,Pvt. Suite2z/TorontoDowntown Private Bath/Entrance,291533774,Davy,,Kensington-Chinatown,43.64976,-79.40407,Private room,79,1,33,2021-06-13,1.64,9,0,5,STR-2009-GVSVBH
45164507,✰Lovely View ✰Luxury 2 BDR Unit/ Parking+Subway✰,97777185,Sarah,,Willowdale East,43.76135,-79.41074,Entire home/apt,199,2,1,2022-01-03,0.19,12,216,1,STR-2012-HCMBHJ
45333069,Humber College: spacious private bedroom,272068817,Vladimir,,West Humber-Clairville,43.73862,-79.59368,Private room,20,28,4,2021-10-31,0.23,4,30,2,
45164511,✰Lovely View ✰Luxury 2 BDR Unit/ Parking+Subway✰,97777185,Sarah,,Willowdale East,43.76093,-79.40899,Entire home/apt,290,2,4,2022-01-13,0.19,12,215,2,STR-2012-HCMBHJ
44956441,"1 BR/1BA Condo with Balcony, High Floor near Tower",263009685,Adrienne,,Waterfront Communities-The Island,43.64174,-79.38226,Entire home/apt,123,28,30,2022-05-07,1.37,6,62,20,STR-2101-GDBKVF
45345320,King East Gem with private back patio!!,846505,Julie,,Moss Park,43.65304,-79.36016,Entire home/apt,129,5,24,2022-05-27,1.17,46,20,15,STR-2011-JCBDVM
44963072,房号 2-2（Not qualified for quarantine）,96731289,James,,Newtonbrook East,43.78314,-79.41263,Private room,49,2,3,2021-08-16,0.14,4,155,1,STR-2009-JCKRPM
44963429,"★ Stylish Suite w/Parking, Patio- Beach, Toronto",71296587,Christopher,,Greenwood-Coxwell,43.66958,-79.31911,Entire home/apt,240,3,32,2022-05-30,1.56,1,154,28,STR-2106-GCDXVD
45164862,Newly renovated basement studio apartment,206135778,Mohamed,,Woburn,43.76553,-79.21086,Entire home/apt,84,2,54,2022-05-08,2.58,2,300,40,STR-2012-HKZBHK
45164906,Homewood Queen Bed Room A02,213612,Shiro,,Cabbagetown-South St.James Town,43.66579,-79.37409,Private room,85,28,5,2022-02-06,0.25,22,273,3,
45345880,COZY ROOM+SUBWAY,228793542,Kevin,,Forest Hill North,43.69979,-79.43964,Private room,63,2,28,2022-05-16,1.36,5,6,15,STR-2012-FVQKVD
45166069,Furnished Private Room with Attached Washroom,364534867,Lovepreet,,Malvern,43.79382,-79.22919,Private room,60,28,1,2021-01-29,0.06,2,365,0,
45347405,!New 1 bedroom  flat+kitchen+wifi+bathroom+laundry,364587857,Tina,,Clairlea-Birchmount,43.70702,-79.26522,Entire home/apt,50,120,3,2022-05-02,0.16,3,295,2,
44978769,Secretly Yours,137150359,Shemar,,New Toronto,43.60052,-79.50019,Entire home/apt,140,28,0,,,1,0,0,
45347586,2 BR + 2 Bath + Parking + Sofabed - CN & Lakeview,182105364,Sam,,Waterfront Communities-The Island,43.64108,-79.39647,Entire home/apt,50,28,1,2021-08-20,0.10,1,148,1,
44994214,Great Apartment on Coxwell,35328971,Connor,,Greenwood-Coxwell,43.67097,-79.31956,Entire home/apt,80,4,42,2022-06-01,1.95,1,78,28,STR-2204-GGPVHF
45347623,North York executive 2 bed + 2 bath + Parking,225026043,Liz,,Don Valley Village,43.77435,-79.36034,Entire home/apt,179,2,8,2022-01-09,0.61,1,226,6,STR-2012-GHLXVF
45348297,Studio Condo in Downtown Toronto #5,342316738,Davar,,Church-Yonge Corridor,43.6493,-79.3762,Private room,129,30,3,2021-04-16,0.17,29,60,0,
45350238,Comfy Bedroom in the Heart of Queen Street W | RM4,338125,Fotios Gregory,,Waterfront Communities-The Island,43.64663,-79.40121,Private room,98,28,6,2022-02-28,0.38,5,187,4,
44996977,Clean & Spacious bedroom in Bayview Village #1,93058306,Yan,,Bayview Village,43.76611,-79.37981,Private room,66,28,16,2020-12-06,0.74,1,90,0,
45170636,Toronto Home near to Scarborough Town Center & 401,401591201,Bamathi,,Woburn,43.77106,-79.24117,Entire home/apt,300,2,10,2022-05-31,0.70,1,154,8,STR-2012-GQHHHG
45352961,Brand New Luxurious 2-Bedroom Condo / Amazing View,343594876,Chen,,Waterfront Communities-The Island,43.64263,-79.37911,Private room,130,28,56,2022-01-01,2.72,1,0,24,STR-2012-FRJKVC
45198572,Private bedroom in the mainfloor in Stonegate area,128610812,Linh,,Stonegate-Queensway,43.63364,-79.49606,Private room,40,28,5,2022-03-31,0.24,1,1,2,STR-2010-HXSXPL
44998280,MCS Luxury Suite - LAKE VIEW,50396723,Frankie,,Waterfront Communities-The Island,43.64306,-79.38241,Entire home/apt,279,1,12,2021-01-22,0.56,19,123,0,STR-2011-HVHDVL
45361541,ONE BEDROOM BASEMENT PARTMENT ( WILSON AND AVENUE),93114779,Mary,,Bedford Park-Nortown,43.7365,-79.42532,Entire home/apt,71,28,4,2021-12-27,0.20,1,309,1,
44998581,Muskoka In The City!  58X173 On Private Ravine!,4843091,Fartun,,Humbermede,43.74759,-79.55234,Entire home/apt,123,1,96,2022-05-24,4.54,1,245,61,STR-2101-HSGDVL
